ID,CLASSIFIED,TYPE,SUMMARY
HTTPCLIENT-131,NUG,IMPROVEMENT, HttpClient Authenticator - ability to perform alternate authentication
HTTPCLIENT-132,NUG,IMPROVEMENT,New Preferences Architecture
HTTPCLIENT-154,NUG,IMPROVEMENT,Allow redirects between hosts and ports
HTTPCLIENT-162,NUG,BUG,Realm from authentication challenge unavailable
HTTPCLIENT-17,NUG,IMPROVEMENT,need a way to set time out when using HttpClient and HttpMultiClient
HTTPCLIENT-173,NUG,BUG,Multiple DIGEST authentication attempts with same credentials
HTTPCLIENT-174,NUG,IMPROVEMENT,Need setURI methods in HttpMethod interface
HTTPCLIENT-18,NUG,BUG,Can t use proxy server with https
HTTPCLIENT-187,NUG,IMPROVEMENT,Provide general HTTP date parsing
HTTPCLIENT-189,NUG,BUG,Set-Cookie2 and Set-Cookie
HTTPCLIENT-194,NUG,BUG,httpClient does not support installation of different SSLSocketFactory
HTTPCLIENT-209,NUG,IMPROVEMENT,Add set getLocalAddress methods to HostConfiguration
HTTPCLIENT-217,NUG,IMPROVEMENT,httpMethod.abort needed
HTTPCLIENT-230,NUG,BUG,Contributed utility for determing content type from file type extension
HTTPCLIENT-234,NUG,IMPROVEMENT,Customizable Cookie Policy
HTTPCLIENT-243,NUG,BUG,Transfer-Encoding identity not supported possible patch
HTTPCLIENT-245,NUG,RFE,customize handling of 302 redirects
HTTPCLIENT-252,NUG,IMPROVEMENT,Cookie Strict Mode independent of regular Strict Mode
HTTPCLIENT-257,NUG,BUG,NTLM class registers Sun JCE implementation by default
HTTPCLIENT-26,NUG,IMPROVEMENT,need a way to set request body in PostMethod
HTTPCLIENT-260,NUG,IMPROVEMENT,Authentication does not respond to stale nonce
HTTPCLIENT-266,NUG,IMPROVEMENT, patch Support for digest auth MD5-sess
HTTPCLIENT-278,NUG,IMPROVEMENT,Add the ability to disable the content-type and transfer encoding headers for Parts
HTTPCLIENT-285,NUG,IMPROVEMENT,Ability to ignore reject cookies altogether
HTTPCLIENT-29,NUG,BUG,shouldn t throw exception on bad cookies
HTTPCLIENT-293,NUG,IMPROVEMENT,Provide support for non-ASCII charsets in the multipart disposition-content header
HTTPCLIENT-30,NUG,BUG,should allow receiving secure cookies from non-secure chanel
HTTPCLIENT-309,NUG,IMPROVEMENT, RFE Allow streaming of POST methods via chunked transfer encoding.
HTTPCLIENT-31,NUG,IMPROVEMENT,user need a way to control cookie policy
HTTPCLIENT-317,NUG,IMPROVEMENT,HTTP Client doesn t support multipart related content-type
HTTPCLIENT-323,NUG,IMPROVEMENT,GetMethod.getResponseBodyAsStream .available could return content-length
HTTPCLIENT-326,NUG,IMPROVEMENT,MultiThreadedConnectionManager should provide a shutdown
HTTPCLIENT-328,NUG,IMPROVEMENT,Proxy tunneling auth with CONNECT for non-HTTP protocols
HTTPCLIENT-334,NUG,IMPROVEMENT,Per socket SOCKS proxies
HTTPCLIENT-335,NUG,BUG,Handling sub-domain cookies.
HTTPCLIENT-345,NUG,IMPROVEMENT, CONTRIB SSL authenticating protocol socket factory
HTTPCLIENT-35,NUG,IMPROVEMENT, HttpClient Better proxy support in HttpMultiClient
HTTPCLIENT-352,NUG,IMPROVEMENT,Allow polymorphic use of addParameter
HTTPCLIENT-353,NUG,IMPROVEMENT,Setting different MAX HOST CONNECTION values per host using a single MultiThreadedHttpConnectionManager
HTTPCLIENT-368,NUG,BUG, PATCH character encoding handling is invalid at multipart
HTTPCLIENT-373,NUG,IMPROVEMENT,Allow configuration of SO LINGER
HTTPCLIENT-385,NUG,IMPROVEMENT,Access to SO TIMEOUT for open connections
HTTPCLIENT-389,NUG,IMPROVEMENT,Provide Date Header Util Methods
HTTPCLIENT-399,NUG,BUG,Connection not closed after Connection close request
HTTPCLIENT-401,NUG,BUG,HttpState should have methods for clearing all cookies and credentials
HTTPCLIENT-41,NUG,IMPROVEMENT,New method to add an array of parameters to PostMethod
HTTPCLIENT-420,NUG,IMPROVEMENT,Provide a non-pooling connection manager
HTTPCLIENT-424,NUG,BUG,setAuthPreemptive restricted to BASIC AuthScheme
HTTPCLIENT-427,NUG,IMPROVEMENT,Implement a cache to perform real request only when needed
HTTPCLIENT-44,NUG,IMPROVEMENT,Non-standards configuration and tracking
HTTPCLIENT-45,NUG,IMPROVEMENT,HTTP Version configuration and tracking
HTTPCLIENT-455,NUG,IMPROVEMENT,Feature Request include contributed code for Plugin Proxy Detection
HTTPCLIENT-46,NUG,IMPROVEMENT,Plug-in authentication modules
HTTPCLIENT-460,NUG,IMPROVEMENT,Windows specific implementation of the Digest auth scheme
HTTPCLIENT-47,NUG,IMPROVEMENT,User definable default headers support
HTTPCLIENT-475,NUG,IMPROVEMENT,Provide support for unconnected sockets
HTTPCLIENT-477,NUG,BUG,There is no way to specify a different auth scheme priority for host and proxy
HTTPCLIENT-48,NUG,IMPROVEMENT,User interaction for authentication
HTTPCLIENT-50,NUG,IMPROVEMENT,User configurable cookie policy
HTTPCLIENT-51,NUG,BUG,Redefine HttpClient vs HttpMultiClient interface for 2.0
HTTPCLIENT-510,NUG,IMPROVEMENT,User-defined ProtocolSocketFactory for secure connection through proxy
HTTPCLIENT-523,NUG,IMPROVEMENT,SPNEGO authentication scheme
HTTPCLIENT-524,NUG,BUG,Provide feedback mechanism to CredentialsProvider
HTTPCLIENT-541,NUG,IMPROVEMENT,Redesign virtual host API
HTTPCLIENT-547,NUG,IMPROVEMENT,Provide access to port of Host header
HTTPCLIENT-552,NUG,IMPROVEMENT,Add shutdown method to SimpleHttpConnectionManager
HTTPCLIENT-554,NUG,IMPROVEMENT,AbstractHttpProcessor hard-wired against a single context
HTTPCLIENT-57,NUG,BUG,Define and implement Logging policy
HTTPCLIENT-582,NUG,IMPROVEMENT,Allow access to registered cookie policies
HTTPCLIENT-60,NUG,IMPROVEMENT,Handle virtual hosts relative urls multi-homing
HTTPCLIENT-601,NUG,RFE,SecureProtocolFactoryWrapper class for using the socket factory created by Java Web Start
HTTPCLIENT-61,NUG,IMPROVEMENT,configurable User-Agent string
HTTPCLIENT-610,NUG,,HttpMethodBase.getResponseBodyAsString long limit
HTTPCLIENT-614,NUG,IMPROVEMENT,allow different strategies when checking CN of x509 cert
HTTPCLIENT-625,NUG,IMPROVEMENT,shutdown of MultiThreadedHttpConnectionManager
HTTPCLIENT-63,NUG,IMPROVEMENT,Response handlers
HTTPCLIENT-643,NUG,IMPROVEMENT,Provide fail-over for multi-home remote servers if one server in a farm goes down
HTTPCLIENT-649,NUG,RFE,Support multiple proxies
HTTPCLIENT-652,NUG,IMPROVEMENT,Add optional state attribute to managed client connections
HTTPCLIENT-656,NUG,RFE,IP address of the server of a HttpConnection
HTTPCLIENT-66,NUG,IMPROVEMENT,RFC 2965 Support Port sensitive cookies
HTTPCLIENT-666,NUG,IMPROVEMENT,Replace HttpState with CredentialsProvier and CookieStore interfaces
HTTPCLIENT-667,NUG,IMPROVEMENT,Provide BestMatch cookie policy
HTTPCLIENT-669,NUG,IMPROVEMENT,introduce HttpRoutePlanner interface
HTTPCLIENT-670,NUG,RFE,add an interface for plugable dns clients
HTTPCLIENT-673,NUG,IMPROVEMENT,revise max-per-host configuration
HTTPCLIENT-689,NUG,IMPROVEMENT,stackable parameters
HTTPCLIENT-690,NUG,IMPROVEMENT,Provide access to SSLSession in ManagedClientConnection
HTTPCLIENT-71,NUG,BUG,Add support for Digest authentication to the Authenticator class
HTTPCLIENT-712,NUG,IMPROVEMENT,improve HttpRoute API
HTTPCLIENT-716,NUG,IMPROVEMENT,application-defined routes
HTTPCLIENT-719,NUG,IMPROVEMENT,Clone support
HTTPCLIENT-72,NUG,IMPROVEMENT,Support for NTLM authentication
HTTPCLIENT-723,NUG,RFE,HttpRoutePlanner based on ProxySelector
HTTPCLIENT-73,NUG,BUG,No way to get the requestBody out of a PostMethod or use if extending class
HTTPCLIENT-733,NUG,RFE,Implementation of Delete method
HTTPCLIENT-735,NUG,IMPROVEMENT,allow unsetting of DEFAULT PROXY and FORCED ROUTE parameters in the client stack
HTTPCLIENT-739,NUG,IMPROVEMENT,CookieIdentityComparator and CookiePathComparator could should implement Serializable
HTTPCLIENT-74,NUG,IMPROVEMENT,J2EE FORM authentication also affects pluggable authentication
HTTPCLIENT-749,NUG,IMPROVEMENT,HttpClient ParamBeans for easier configuration
HTTPCLIENT-77,NUG,BUG,Implement Connection Timeouts
HTTPCLIENT-781,NUG,BUG,Respect Keep-Alive Header
HTTPCLIENT-788,NUG,RFE,Public Suffix List
HTTPCLIENT-789,NUG,IMPROVEMENT,Support for passing an SSLContext to the SSLSocketFactory of HttpClient
HTTPCLIENT-80,NUG,BUG,PostMethod - Chunked requests are not supported at the moment.
HTTPCLIENT-805,NUG,IMPROVEMENT,Pass ClientConnectionManager to DefaultHttpClient constructor
HTTPCLIENT-807,NUG,RFE,ContentBody doesn t currently have a setMimeType method.
HTTPCLIENT-81,NUG,IMPROVEMENT,need getResponseContentLength in HttpMethod
HTTPCLIENT-82,NUG,IMPROVEMENT,HttpURLConnection wrapper
HTTPCLIENT-823,NUG,IMPROVEMENT,Make it possible to adjust MaxTotalConnections parameter dynamicaly
HTTPCLIENT-83,NUG,IMPROVEMENT,handle multivalue headers correctly
HTTPCLIENT-834,NUG,RFE,Transparent Content Coding support
HTTPCLIENT-86,NUG,IMPROVEMENT,need to add a default constructor for Cookie
HTTPCLIENT-861,NUG,BUG,URI reference resolution fails examples in RFC 3986
HTTPCLIENT-862,NUG,IMPROVEMENT,Extend the client s redirect handling interface to allow control of the content of the redirect
HTTPCLIENT-871,NUG,IMPROVEMENT,Add FileBody constructor with explicit filename
HTTPCLIENT-872,NUG,IMPROVEMENT,Add preemptive authentication
HTTPCLIENT-874,NUG,BUG,Override method MultipartEntity.addPart so that applications may use FormBodyPart
HTTPCLIENT-901,NUG,IMPROVEMENT,Add a ContextAwareAuthScheme that has access to the HttpContext in the authenticate method
HTTPCLIENT-915,NUG,RFE,Provide a clean mechanism to attatch user define attributes to connections
HTTPCLIENT-916,NUG,IMPROVEMENT,RFE Make Credentials Serializable
HTTPCLIENT-919,NUG,IMPROVEMENT,NTLM implementation lacks support for NTLMv1 NTLMv2 and NTLM2 Session forms of NTLM
HTTPCLIENT-926,NUG,RFE,Add Amazon S3 authentication support
HTTPCLIENT-937,NUG,IMPROVEMENT,Make CacheEntry use an immutable object to represent cache content
HTTPCLIENT-95,NUG,BUG,Proxy authentication does not handle multiple multiple authentication schemes
HTTPCLIENT-967,NUG,IMPROVEMENT,allow cache to be configured as a non-shared private cache
HTTPCLIENT-972,NUG,IMPROVEMENT,caching module should use HttpParams-style configuration
HTTPCLIENT-975,NUG,RFE,add support to caching module for RFC 5861 stale-on-error and stale-while-revalidate
HTTPCLIENT-977,NUG,RFE,provide a memcached implementation for HttpCache
HTTPCLIENT-978,NUG,RFE,provide an ehcache implementation for HttpCache
HTTPCLIENT-982,NUG,RFE,Could we get a way to know if the response has been served from the cache or not
HTTPCLIENT-994,NUG,IMPROVEMENT,cache does not allow client to override origin-specified freshness using max-stale
HTTPCLIENT-1044,NUG,IMPROVEMENT,DefaultHttpRequestRetryHandler is not handling PUT as an idempotent method for retries though RFC2616 section 9.1.2 clearly defines it to be one.
HTTPCLIENT-1097,NUG,BUG,BrowserCompatHostnameVerifier and StrictHostnameVerifier should handle wildcards in SSL certificates better
HTTPCLIENT-1135,NUG,BUG,RandomAccessFile mode w is not valid
HTTPCLIENT-958,NUG,BUG,client cache currently allows incomplete responses to be passed on to the client
HTTPCLIENT-961,NUG,BUG,not all applicable URIs are invalidated on PUT POST DELETEs that pass through client cache
HTTPCLIENT-963,NUG,BUG,client cache does not respect Cache-Control no-store on requests
HTTPCLIENT-1026,NUG,BUG,Properly close resources
HTTPCLIENT-584,NUG,TASK,Remove lib directory from SVN trunk
HTTPCLIENT-662,NUG,TASK,Disentangle commons-httpclient from commons in Gump
HTTPCLIENT-663,NUG,TASK,New Gump projects for HttpComponents 4.0
HTTPCLIENT-668,NUG,IMPROVEMENT,make sure no static loggers are used
HTTPCLIENT-672,NUG,TASK,re-sync client with changes in core alpha6 snapshot
HTTPCLIENT-745,NUG,IMPROVEMENT,no classes with default visibility
HTTPCLIENT-786,NUG,IMPROVEMENT,variables should be accessed through getters
HTTPCLIENT-824,NUG,TASK,Review the use of BaiscHttpParams and HttpProtocolProcessor in HttpClient
HTTPCLIENT-322,NUG,IMPROVEMENT,Deprecate and replace SimpleHttpConnection with the SimpleHttpServer based testing framework
HTTPCLIENT-391,NUG,IMPROVEMENT,Deprecate and replace TestWebapp with the SimpleHttpServer based testing framework
HTTPCLIENT-392,NUG,IMPROVEMENT,Provide additional test coverage for HTTP and HTTPS over proxy
HTTPCLIENT-450,NUG,BUG,TestExcetions never run
HTTPCLIENT-637,NUG,TEST,Unit tests for HttpConn
HTTPCLIENT-657,NUG,BUG,TestBasicCookieAttribHandlers fails on non-english Locale systems
HTTPCLIENT-827,NUG,IMPROVEMENT,ServerTestBase LocalTestServer should be redistributed
HTTPCLIENT-984,NUG,TEST,additional conditional compliance tests for the caching module for Content-Encoding Content-Location Date Expires Server Transfer-Encoding and Vary headers
HTTPCLIENT-110,NUG,BUG,Port 80 is needed to run tests
HTTPCLIENT-505,NUG,BUG,cipher
JCR-1881,BUG,BUG,RTF text extractor fails on Java 1.4 in some environments
JCR-611,NUG,TASK,Setup nightly builds for Jackrabbit
JCR-2216,NUG,IMPROVEMENT,Append-only index updates
JCR-3112,BUG,BUG,NodeTypeDefDiff.PropDefDiff.init constraints change check bugs
JCR-1663,NUG,IMPROVEMENT,REFERENCE properties produce duplicate strings in memory
JCR-1466,NUG,BUG,ConfigurationException constructors are package private
JCR-1400,NUG,IMPROVEMENT,Backport JCR-940 add db connection autoConnect for BundleDbPersistenceManager
JCR-1004,NUG,IMPROVEMENT,SPI Add RepositoryService.getQNodeTypeDefinition
JCR-1615,NUG,IMPROVEMENT,WebDAV drop dependency on commons-collections
JCR-1766,BUG,BUG,Bundle binding deserialization problem
JCR-14,BUG,BUG, XML Object PersistenceManager.destroy may fail
JCR-152,NUG,IMPROVEMENT,FAQ document
JCR-3000,BUG,BUG,SQL2 Join with OR clause still has some issues
JCR-1300,NUG,IMPROVEMENT,spi2dav Improve performance for large binary properties
JCR-2850,BUG,BUG,RMI problems prevent proper startup of the Jackrabbit webapp
JCR-1997,NUG,BUG,Performance fix when deserializing large jcr binary in ValueHelper.deserialize
JCR-1694,BUG,BUG,System properties does not get replaced in a Cluster configuration
JCR-2880,BUG,BUG,Save fails after setting a binary property twice
JCR-2588,BUG,BUG,UserManager.getAuthorizable may fail with InvalidQueryException
JCR-1042,NUG,IMPROVEMENT,Disable norms for untokenized fields to reduce memory consumption
JCR-981,BUG,BUG,XPath relative path support missing for is null and is not null
JCR-3090,BUG,BUG,setFetchSize fails in getAllNodeIds
JCR-1065,NUG,BUG,Workspace Copy Move VersionableTest assumptions on versioning
JCR-31,NUG,BUG,sysview import cannot handle auto-created nodes
JCR-619,NUG,RFE,CacheManager Memory Management in Jackrabbit
JCR-1684,NUG,IMPROVEMENT,SPI sandbox use tests-jars introduced with JCR-1629 and JCR-1683
JCR-572,NUG,IMPROVEMENT,Referenced derby library behaves buggy on FreeBSD
JCR-707,BUG,BUG,Range queries fail on large repositories
JCR-450,BUG,BUG,Memory leak in UUIDDocId
JCR-262,NUG,TEST,In AbstractImportXmlTest a bug in getUnusedUri causes URI length to grow too quickly causing test to fail when using ORM-PM
JCR-2139,BUG,BUG,Registering NodeType with defaultvalues fails with IndexOutOfBounds
JCR-947,NUG,IMPROVEMENT,XMLReader logs fatal error to system out
JCR-2659,BUG,BUG,Fails to remove a previously assigned mixin
JCR-3189,BUG,BUG,JCARepositoryManager.createNonTransientRepository throws NPE with no JCAManagedConnectionFactory.CONFIGFILE KEY
JCR-1593,NUG,,JSR 283 Simple versioning
JCR-817,NUG,IMPROVEMENT,TCK vs available property types
JCR-212,NUG,IMPROVEMENT,decorator enhancements
JCR-2656,BUG,BUG,Embedded Derby fails under JBoss because of JMX-related conflicts
JCR-852,NUG,IMPROVEMENT,Change Log-Level in DefaultIOListener
JCR-2378,NUG,IMPROVEMENT,Avoid exceptions thrown in finalize handler of RepositoryImpl constructor
JCR-612,NUG,IMPROVEMENT,Restructure the Jackrabbit source tree
JCR-1601,BUG,BUG,Occasional NullPointerException in ItemManager
JCR-2854,NUG,IMPROVEMENT,Add option to make sorting in user group query case insensitive
JCR-2741,NUG,IMPROVEMENT,Improved logging for session operations
JCR-1859,NUG,IMPROVEMENT,BeanLazyLoader is not Serializable
JCR-2737,NUG,IMPROVEMENT,have jackrabbit-core produce a test jar
JCR-452,BUG,BUG,Workspace.clone throws ItemNotFoundException on a referenceable node with children
JCR-2340,BUG,BUG,CacheBehaviour Observation broken
JCR-491,NUG,BUG,TCK PredefinedNodeTypeTest does not allow additions to the predefined node types hierarchy
JCR-1326,NUG,IMPROVEMENT,Log path of missing node when re-indexing fails
JCR-1486,NUG,IMPROVEMENT,Introduce Timer idle time
JCR-1966,NUG,IMPROVEMENT, PATCH Remove Stutter in NodeState
JCR-2917,BUG,BUG,Indexing configuration ignored when indexing length
JCR-2580,BUG,BUG,NullPointerException when using ancestor axis in indexing configuration
JCR-1157,NUG,IMPROVEMENT,Expose namespace registry via workspace instead via session in spi2jcr
JCR-2663,NUG,BUG,JCR unit tests use invalid queries
JCR-405,BUG,BUG,PROPPATCH doesn t respect document order
JCR-1198,BUG,BUG,Issue while loading list of classes at that path itself.
JCR-1537,BUG,BUG,ClassDescriptor.hasIdField fails if id is declared in upper class
JCR-1730,BUG,BUG,Background text extraction not possible when supportHighlighting is set true
JCR-329,BUG,IMPROVEMENT,NodeReferencesId.equals is not symetric
JCR-3117,NUG,,Stats for the PersistenceManager
JCR-2906,NUG,IMPROVEMENT,Multivalued property sorted by last random value
JCR-102,NUG,IMPROVEMENT,how-to deployment models
JCR-2219,NUG,IMPROVEMENT,Improved background text extraction
JCR-1132,NUG,IMPROVEMENT,XSLT pretty-printer for JCR document view export files
JCR-114,NUG,IMPROVEMENT,Suggestion regarding NodeImpl and PropertyImpl in jackrabbit.core
JCR-1849,NUG,,JSR 283 EventJournal
JCR-2956,NUG,IMPROVEMENT,SQL2 Implement LIKE support for node names
JCR-2283,BUG,BUG,Incorrect CND for mix etag
JCR-3140,NUG,RFE,Add configurable hook for password validation
JCR-2634,BUG,IMPROVEMENT,weird error when adding a node using an abstract mixin nodetype
JCR-2589,BUG,BUG,WebDav MKCOL on a directory that already exists generates a IllegalStateException
JCR-168,BUG,BUG,Observation events are not triggered for intermediate nodes in version storage
JCR-2517,NUG,IMPROVEMENT,UserImporter should use User.changePassword
JCR-2783,BUG,BUG,ItemManager.toString causes StackOverflowError
JCR-2595,BUG,BUG,SessionImpl.createSession uses same Subject LoginContext
JCR-119,BUG,BUG,workspace.copy does not copy binary properties properly
JCR-1450,BUG,BUG,move method of the MemoryFileSystem may accept invalid destination path resulting in invalid entries in FS
JCR-2522,BUG,BUG,unable to workspace import XML.
JCR-3050,BUG,BUG,NullPointerException on removing a node acquired from search result
JCR-1156,NUG,IMPROVEMENT,DatabaseJournal refactoring for subclassing capability
JCR-2424,NUG,IMPROVEMENT,Avoid Maven 3 warnings
JCR-961,NUG,RFE,Add workspace population tool
JCR-2784,NUG,BUG,NodeStateMerger.merge should abort if the primary type of the 2 states to be compare are not the same
JCR-2536,NUG,BUG,spi2davex InvalidItemStateException not properly extracted from ambiguous response error
JCR-69,BUG,BUG,removing source parent node after session move throws on save
JCR-2322,NUG,IMPROVEMENT,Fix NOTICE files to match consensus from legal team
JCR-1241,NUG,IMPROVEMENT,NodeIndexer creates unnecessary string representation of Name value
JCR-888,BUG,BUG,javax.jcr.NamespaceException is not a registered namespace uri
JCR-2735,NUG,IMPROVEMENT,Make SessionProvider pluggable in JCRWebdavServerServlet
JCR-439,BUG,BUG,Workspace.clone fails the second time if cloning referenceables
JCR-674,BUG,BUG,String properties with invalid XML characters export as invalid XML
JCR-2220,NUG,IMPROVEMENT,Use the remote-resources-plugin to add LICENSE and NOTICE files to binaries
JCR-2337,NUG,BUG,TCK NodeMixinUtil should exclude for mix shareable
JCR-528,NUG,BUG,TCK GetPersistentQueryPathTest and SaveTest require nt query
JCR-2918,NUG,IMPROVEMENT,Avoid unnecessary index reader calls when using aggregate definitions
JCR-2518,NUG,IMPROVEMENT,Make ItemIds more stable
JCR-1449,BUG,BUG,Registering nodetypes with empty namespace prefix causes a namespace exception in sync node
JCR-874,NUG,IMPROVEMENT,Move copy objects
JCR-2167,NUG,BUG,CompactNodeTypeDefReader could auto-provide default namespace mappings if omitted
JCR-2945,BUG,BUG,Token authentication parameters are not loaded from JAAS configuration.
JCR-1720,NUG,IMPROVEMENT,Jcr2Spi configuration entry for size of ItemCache
JCR-418,NUG,RFE,.NET build scripts for Jackrabbit
JCR-2614,NUG,IMPROVEMENT,Include the WebDAV litmus tests in the Jackrabbit integration tests
JCR-2238,BUG,BUG,Binary throws NullPointerException
JCR-1784,BUG,BUG,OCM The UUID of the collection elements changes on update.
JCR-2297,NUG,BUG,Registering multiple node types with the same name in a single file must fail
JCR-683,NUG,BUG,Bad transitive dependencies in commons-httpclient
JCR-550,BUG,BUG,OutOfMemoryError when re-indexing the repository
JCR-1280,BUG,BUG,Path.equals does not work for other Path implementations
JCR-237,BUG,BUG,Item.isNew does not work correctly within a transaction
JCR-218,NUG,IMPROVEMENT, JCR-RMI Have ClientItem.isSame throw RepositoryException
JCR-565,NUG,IMPROVEMENT,Refactor ObservationManagerFactory
JCR-1057,NUG,IMPROVEMENT,Log at debug level rather that info in CacheManager
JCR-2984,BUG,BUG,JCR2SPI NamespaceRegistryImpl.unregisterNamespace passes prefix to storage when uri is expected
JCR-1862,BUG,BUG,jcr2spi transient removal of mandatory item throws ConstraintViolationException
JCR-2709,BUG,BUG,Missing XPath escape in query.jsp
JCR-1967,BUG,IMPROVEMENT,Impossible comparison in NodeTypeImpl
JCR-856,NUG,BUG,NodeAddMixinTest assumptions on addMixin behaviour
JCR-1634,BUG,BUG,In XA transaction session.addLockToken does not have effect
JCR-2625,NUG,IMPROVEMENT,spi2davex reduce memory footprint of Node PropertyInfoImpl
JCR-376,NUG,BUG,JCR-RMI depends on commons-logging
JCR-2202,BUG,BUG,UserManagement IndexNodeResolver.findNodes ..... nonExact fails to find values containing backslash
JCR-3247,BUG,BUG,SQL2 ISDESCENDANTNODE BooleanQuery TooManyClauses returns
JCR-1582,BUG,BUG,Parameters idleTime and queryClass cause QueryHandler to fail
JCR-139,BUG,BUG,Query for name literal without namespace fails
JCR-3158,BUG,BUG,Deadlock in DBCP when accessing node
JCR-505,NUG,BUG,TCK AbstractJCRTest fails if setUp tearDown cannot remove children of test node
JCR-1650,BUG,BUG,XPathQueryBuilder may not handle multiple jcr deref correctly
JCR-487,NUG,BUG,the jcr frozenUuid property is of type REFERENCE instead of STRING
JCR-2385,BUG,BUG,webdav nullpointer exception while getting the tikka detector
JCR-2234,NUG,,changed behavior of javax.jcr.Value get methods
JCR-1850,NUG,IMPROVEMENT,Journal Use buffered input output streams
JCR-1138,NUG,IMPROVEMENT,Data store garbage collection
JCR-882,NUG,IMPROVEMENT,Add more unit on collection fields
JCR-648,BUG,BUG,NullpointerException in SessionItemStateManager
JCR-471,NUG,IMPROVEMENT,Create resource sensitive cache for item states
JCR-1804,NUG,IMPROVEMENT,Added the functionality to Map and Manage Type Enum
JCR-1678,BUG,BUG,NullPointerException in constructor of JcrDavException
JCR-1995,NUG,IMPROVEMENT,Move .log files to target
JCR-1825,BUG,BUG,DBDataStore doesn t support concurrent reads
JCR-901,NUG,RFE,Support synonym searches
JCR-1750,BUG,BUG,Creating QValue from stream stream not closed
JCR-2177,BUG,BUG,Node.getWeakReferences throws UnsupportedOperationException if not referenceable
JCR-71,BUG,BUG,WorkspaceConfig.init throws NullPointerException if Search configuration is missing
JCR-2929,NUG,IMPROVEMENT,Various places do map lookups in loop instead of using entrySet iterator
JCR-797,BUG,BUG,Typo in the deploy jboss 4.x jcr-ds.xml file
JCR-1119,NUG,IMPROVEMENT,SimpleFieldsHelper emits a lot warnings
JCR-3275,NUG,IMPROVEMENT,Audit log
JCR-1767,BUG,BUG,XML serialization in JDK 1.4 broken mostly for WebDAV
JCR-2061,NUG,,JSR 283 References and Dereferencing of Property Values
JCR-1538,NUG,IMPROVEMENT, patch add toString for NodeImpl and PropertyImpl
JCR-2886,NUG,IMPROVEMENT,Add SessionImpl isAdminOrSystem
JCR-2631,NUG,IMPROVEMENT,Move backwards compatibility tests to trunk
JCR-158,NUG,IMPROVEMENT,TextFilterService uses Sun specific classes
JCR-2816,BUG,BUG,Repository is not unlocked if version manager init failed and assertions are enabled
JCR-846,NUG,IMPROVEMENT,support for DB2 in BundleDbPersistenceManager
JCR-1504,BUG,BUG,MS Excel Mime Type missing in MsExcelTextExtractor
JCR-201,BUG,BUG, contrib-bdb initialization fails if directory doesn t exist
JCR-2,NUG,TASK,Mavenize Project
JCR-3110,BUG,BUG,QNodeTypeDefinitionImpl.getSerializablePropertyDefs might return non serializable property definitions
JCR-2705,NUG,BUG,Reduce log level in MultiIndex for deleting obsolete index
JCR-2706,NUG,IMPROVEMENT,Evaluate if membershipcache JCR-2703 obsoletes the cache in DefaultPrincipalProvider
JCR-2499,NUG,TASK,Add simple benchmarking tools for jcr2spi read performance
JCR-727,NUG,BUG,NamespaceRegistryTest uses an invalid URI as namespace URI
JCR-2925,NUG,IMPROVEMENT,Various inner classes maintain references to owning class for no reason
JCR-2813,BUG,BUG, overwriting cached entry warnings
JCR-1434,BUG,BUG,SPI Description of Path.isDescendantOf Path
JCR-1792,BUG,BUG,jcr frozenUuid does not contain jcr content
JCR-2208,NUG,,update tests so that both Query.XPATH and Query SQL are treated as optional features
JCR-876,NUG,IMPROVEMENT,ManageableCollectionUtil should not throw unsupported JcrMapping exception
JCR-221,BUG,BUG,NoSuchItemStateException if Node.checkin is invoked within a transaction
JCR-3067,NUG,IMPROVEMENT,Remove timeout handling from TransactionContext
JCR-541,BUG,BUG,NPE in PredefinedNodeTypeTest.getPropertyDefSpec
JCR-244,NUG,IMPROVEMENT,Support contains queries with wildcard prefix
JCR-1237,NUG,IMPROVEMENT,Change default value for respectDocumentOrder
JCR-1512,BUG,BUG,Incorrect check for replace when importing item with colliding id
JCR-726,NUG,IMPROVEMENT,Improve NodeTypeRegistry.effectiveNodeType
JCR-672,BUG,BUG,Deadlock on concurrent save checkin operations possible
JCR-3026,NUG,IMPROVEMENT,davex remoting has a performance bottleneck due limit of 2 http connections
JCR-2230,NUG,,JSR 283 Evaluate Capabilities
JCR-245,NUG,RFE,Automatic repository shutdown
JCR-2994,NUG,IMPROVEMENT,Add method to remove mappings from NamespaceMapping
JCR-948,NUG,IMPROVEMENT,Support for JNDI configuration of BundleDbPersistenceManager
JCR-574,BUG,BUG,MsExcelTextFilter throws Exception. Repository is not startable
JCR-3127,NUG,IMPROVEMENT,Upgrade to Tika 0.10
JCR-1952,BUG,BUG,DOMException NAMESPACE ERR thrown when exporting document view
JCR-596,NUG,TASK,Keep jackrabbit jar pom s updated at ibiblio
JCR-1240,BUG,BUG,Index segments are only committed on close
JCR-1217,BUG,BUG,Aggregate include ignored if no primaryType set
JCR-181,NUG,BUG,jcr-server should honor a webdav request s Content-Type and Content-Language headers
JCR-3052,BUG,BUG,spi2dav avoid reusing the same document in repositoryserviceimpl
JCR-2255,NUG,BUG,activity storage path
JCR-1738,BUG,BUG,BeanConfig may incorrectly throw ConfigurationException
JCR-1747,NUG,IMPROVEMENT,org.apache.jackrabbit.core.query.lucene.SearchIndex with in-memory lucene index
JCR-265,BUG,BUG,Bug with textfilters and classloaders
