ID,CLASSIFIED,TYPE,SUMMARY,Alan Ratings,Aaron Ratings,Lotfi Ratings
SPARK-32059,BUG,NUG,Nested Schema Pruning not Working in Window Functions,BUG,NUG,BUG
SPARK-23844,BUG,BUG,Socket Stream recovering from checkpoint will throw exception,BUG,BUG,BUG
SPARK-26345,NUG,BUG,Parquet support Column indexes,NUG,NUG,NUG
SPARK-32380,BUG,BUG,sparksql cannot access hive table while data in hbase,BUG,BUG,BUG
SPARK-32378,NUG,NUG,Permission problem happens while prepareLocalResources,NUG,NUG,NUG
SPARK-30876,NUG,NUG,Optimizer cannot infer from inferred constraints with join,NUG,NUG,NUG
SPARK-32373,BUG,BUG,Spark Standalone - RetryingBlockFetcher tries to get block from worker even 10mins after it was de-registered from spark cluster,BUG,BUG,BUG
SPARK-32371,NUG,NUG,Autodetect persistently failing executor pods and fail the application logging the cause.,NUG,NUG,NUG
SPARK-15118,BUG,BUG,Spark SQLConf should support loading hive properties in hive-site.xml,BUG,BUG,BUG
SPARK-32340,NUG,NUG,Move cloudpickle into python/lib as a thridparty library,NUG,NUG,NUG
SPARK-32331,NUG,NUG,Keep advanced statistics when pruning partitions,NUG,NUG,NUG
SPARK-32321,BUG,BUG,Rollback SPARK-26267 workaround since KAFKA-7703 resolved,BUG,BUG,BUG
SPARK-32320,NUG,NUG,Remove mutable default arguments,NUG,NUG,NUG
SPARK-32291,NUG,NUG,COALESCE should not reduce the child parallelism if it is Join,NUG,NUG,NUG
SPARK-24983,BUG,BUG,Collapsing multiple project statements with dependent When-Otherwise statements on the same column can OOM the driver,BUG,BUG,BUG
SPARK-32197,BUG,BUG,Spark driver' stays running even though 'spark application' has FAILED,BUG,BUG,BUG
SPARK-30985,NUG,NUG,Propagate SPARK_CONF_DIR files to driver and exec pods.,NUG,NUG,NUG
SPARK-32226,BUG,BUG,JDBC TimeStamp predicates always append `.0`,BUG,BUG,BUG
SPARK-32288,NUG,NUG,Add exception summary table in stage page,NUG,NUG,NUG
SPARK-24163,NUG,NUG,"Support ""ANY"" or sub-query for Pivot ""IN"" clause",NUG,NUG,NUG
SPARK-32284,NUG,NUG,Avoid expanding too many CNF predicates in partition pruning,NUG,NUG,NUG
SPARK-32228,BUG,BUG,Partition column of hive table was capitalized as directory name when stored on HDFS,BUG,BUG,BUG
SPARK-31635,BUG,BUG,Spark SQL Sort fails when sorting big data points,BUG,BUG,BUG
SPARK-24985,BUG,BUG,"Executing SQL with ""Full Outer Join"" on top of large tables when there is data skew met OOM",BUG,BUG,BUG
SPARK-23258,NUG,NUG,Should not split Arrow record batches based on row count,NUG,NUG,NUG
SPARK-32277,BUG,BUG,Memory limit exception on high usage of direct buffer pool,BUG,BUG,BUG
SPARK-32206,BUG,BUG,Enable multi-line true could break the read csv in Azure Data Lake Storage gen2,BUG,BUG,BUG
SPARK-32246,NUG,BUG,Have a way to optionally run streaming-kinesis-asl,NUG,NUG,NUG
SERVER-49279,BUG,BUG,Investigate how the server and client process OCSP responses,BUG,BUG,BUG
SERVER-25025,NUG,NUG,Improve startup time when there are tens of thousands of collections/indexes on WiredTiger,NUG,NUG,NUG
SERVER-51875,NUG,NUG,Move value type to basic_types.idl,NUG,NUG,NUG
SERVER-51607,NUG,BUG,Upgrade Twisted dependency to at least twisted-19.7.0,NUG,NUG,NUG
SERVER-42632,NUG,BUG,Disable pinger threads that reach out to config server to make integration tests pass,NUG,NUG,NUG
SERVER-52562,NUG,NUG,Turn on Lock-Free reads for standalone mode,NUG,NUG,NUG
SERVER-51674,NUG,NUG,Filter out $where clauses in the find and distinct cmds for lock free reads,NUG,NUG,NUG
SERVER-45298,NUG,BUG,WiredTiger has failed to open its metadata,NUG,NUG,BUG
SERVER-32437,NUG,NUG,Platform Support: add Amazon Linux 2,NUG,NUG,NUG
SERVER-47926,NUG,NUG,Less verbose uassert,NUG,NUG,NUG
SERVER-48922,NUG,NUG,Create internal assertion macro,NUG,NUG,NUG
SERVER-44570,NUG,NUG,Create a non process-fatal variant of invariant(),NUG,NUG,NUG
SERVER-49280,BUG,BUG,Investigate issues with ocspValidationRefreshPeriodSecs,BUG,BUG,BUG
SERVER-51598,NUG,BUG,Add new test suites that test transaction expiration logic,BUG,NUG,NUG
SERVER-51164,NUG,NUG,Remove non-DSI Microbenchmarks,NUG,NUG,NUG
SERVER-51505,NUG,NUG,User a proper view definition for unwinding timeseries buckets,NUG,NUG,NUG
SERVER-52670,NUG,BUG,Coverity analysis defect 116616: Parse warning,NUG,NUG,NUG
SERVER-48890,NUG,NUG,allow $addFields with empty document and have it be a no-op,NUG,NUG,NUG
SERVER-52263,NUG,NUG,Enable feature flag for Remove geoSearch and geoHaystack,NUG,NUG,NUG
SERVER-51960,NUG,NUG,Create feature flag for Remove geoSearch and geoHaystack,NUG,NUG,NUG
SERVER-51264,NUG,NUG,Rename is_master_response files,NUG,NUG,NUG
SERVER-25822,BUG,NUG,Prohibit linking unittest library into core mongodb binaries,BUG,BUG,NUG
SERVER-46342,BUG,BUG,DEB installs of MDB do not issue systemctl daemon-reload on install,BUG,BUG,BUG
SERVER-50490,NUG,BUG,Reduce log severity of SERVER RESTARTED from Warning(-2) back to Log(0),NUG,NUG,NUG
SERVER-51807,BUG,BUG,Speculative majority reads unsafely start storage transactions without holding a global lock,BUG,BUG,BUG
SERVER-33747,BUG,BUG,Arbiter tries to start data replication if cannot find itself in config after restart,BUG,BUG,BUG
SERVER-52629,NUG,NUG,Apply lookup by ShardId first in non config shards,NUG,NUG,NUG
SERVER-34243,BUG,BUG,listCollections should not require a MODE_S database lock,BUG,BUG,BUG
SERVER-50018,BUG,BUG,lock order is reversed when updating config.transactions,BUG,BUG,BUG
SERVER-51692,NUG,NUG,Lint C++ unit test binary name,NUG,NUG,NUG
SERVER-50852,BUG,BUG,"BF Day - Hang analyzer's ""interesting processes"" pattern for C++ unit tests doesn't match db_unittests",BUG,BUG,BUG
SERVER-50888,NUG,NUG,Consider SERVER-46342 for backport to v4.2 --> v3.6,NUG,NUG,NUG
SERVER-47081,NUG,NUG,Remove support for the geoSearch command and geoHaystack indexes,NUG,NUG,NUG
SERVER-52560,BUG,BUG,oplog_writes_only_permitted_on_standalone.js must wait for insert to be in stable checkpoint,BUG,BUG,BUG
SERVER-35069,NUG,NUG,Explain should include command being explained,NUG,NUG,NUG
SERVER-47992,BUG,BUG,"Shard can migrate data on top of orphans if in FCV 4.4 and resumable range deleter was off, then was turned on",BUG,BUG,BUG
SERVER-50697,BUG,BUG,Do not enforce fast count on 'config.system.indexBuilds',BUG,BUG,BUG
SERVER-51826,NUG,NUG,Add code reference to where stale config version exception are handled,NUG,NUG,NUG
SERVER-45684,BUG,BUG,Ninja compiledb adds env vars to commands,BUG,BUG,BUG
SERVER-52748,BUG,BUG,"mongos incorrectly reports ""Only the first command in a transaction may specify API parameters"" error",BUG,BUG,BUG
SERVER-50510,NUG,NUG,Change markHostNotMaster to markHostNotPrimary,NUG,NUG,NUG
SERVER-52696,NUG,NUG,Add sysbench to system_perf.yml modules,NUG,NUG,NUG
SERVER-51848,NUG,NUG,Specify generic arguments in IDL,NUG,NUG,NUG
SERVER-28943,NUG,NUG,Make shards retry non-write commands on stale version exceptions,NUG,NUG,NUG
SERVER-46729,NUG,NUG,Make Windows shell soft-fail for unavailable OCSP responder,NUG,NUG,NUG
SERVER-49199,NUG,NUG,"selected_tests_gen should run only in patch builds, and noop in waterfall",NUG,NUG,NUG
SERVER-52731,NUG,NUG,Make StatusWith types/constants inline,NUG,NUG,NUG
SERVER-52691,NUG,NUG,Move createAggForCollectionCloning() into ReshardingCollectionCloner,NUG,NUG,NUG
SERVER-52697,NUG,NUG,Add tpcc to system_perf.yml modules,NUG,NUG,NUG
SERVER-50027,BUG,NUG,Freeze migrations on original sharded collection while the resharding operation is in progress,BUG,NUG,BUG
SERVER-51788,NUG,NUG,Implement infrastructure for testing SBE stage builder,NUG,NUG,NUG
SERVER-51209,NUG,NUG,Fill in missing gaps in Resharding workflow to complete Milestone 1,NUG,NUG,NUG
SERVER-52658,BUG,NUG,Shut down the Grid's executor before shutting down the PrimaryOnlyServiceRegistry in resharding unit tests,NUG,BUG,BUG
SERVER-51217,NUG,NUG,Uncomment createTemporaryReshardingCollectionLocally(),NUG,NUG,NUG
SERVER-50432,NUG,NUG,"In at least one instance (4615603), log index keys as strings instead of deflated JSON",NUG,NUG,NUG
SERVER-13980,BUG,BUG,Interactive shell truncates line input longer than 4096 bytes,BUG,BUG,BUG
SERVER-49982,NUG,NUG,Implement $dayOf* agg expressions in SBE,NUG,NUG,NUG
SERVER-21307,BUG,BUG,Replicated DDL (catalog) operation during background index build blocks reads/writes, BUG, BUG, BUG
SERVER-51803,BUG,BUG,Please backport SERVER-43641,BUG,BUG,BUG
SERVER-51866,NUG,NUG,IDLify MergeAuthzCollections command,NUG,NUG,NUG
SERVER-51859,BUG,BUG,rolesInfo command returns a result without `inheritedPrivileges` and `isBuiltin` fields for mongo version 4.9+,BUG,BUG,BUG
SERVER-45624,NUG,NUG,Pre-split and distribute chunks of sessions collection,NUG,NUG,NUG
SERVER-41192,NUG,NUG,Add a metric for the size of the SessionCatalog under `logicalSessionRecordCache`,NUG,NUG,NUG
SERVER-48679,BUG,BUG,"flushRoutingTableCacheUpdates should block on critical section with kWrite, not kRead",BUG,BUG,BUG
SERVER-48523,NUG,NUG,Unconditionally check the first entry in the oplog when attempting to resume a change stream,NUG,NUG,NUG
SERVER-50116,BUG,BUG,Forbid oplog writes when replication is enabled,BUG,BUG,BUG
SERVER-50318,BUG,BUG,Only restart scheduled heartbeats,BUG,BUG,BUG
SERVER-48518,BUG,BUG,Rollback via refetch (EMRC = false) can make readers to see the rolled back data even after the rollback node catches up to primary.,BUG,BUG,BUG
SERVER-31715,BUG,BUG,createIndexes (and dropIndexes) may not create index (or leave index around) if migration happens concurrently,BUG,BUG,BUG
SERVER-51877,NUG,NUG,Check that all API Version 1 commands have an associated IDL file specifying inputs/outputs,NUG,NUG,NUG
SERVER-49024,BUG,BUG,Disallow $lookup uncorrelated pipeline caching for stages containing $sample/$rand/$sampleRate,BUG,BUG,BUG
SERVER-12629,NUG,NUG,Allow $meta projections inside subdocuments,NUG,NUG,NUG
SERVER-52733,NUG,NUG,Dependency rationalization for sbe value,NUG,NUG,NUG
SERVER-1252,NUG,NUG,Limit return for tailable cursor at first readind,NUG,NUG,NUG
SERVER-52724,BUG,BUG,Increment TTL passes server status metric after the TTL work has finished,BUG,BUG,BUG
SERVER-51865,NUG,NUG,IDLify invalidateUserCache and getUserCacheGeneration commands,NUG,NUG,NUG
SERVER-41410,NUG,NUG,Prototype drain mode concepts,NUG,NUG,NUG
SERVER-52679,BUG,BUG,Disallow null/undefined command parameter for IDL commands with {namespace: type},BUG,BUG,BUG
SERVER-15086,NUG,NUG,Allow for efficient range queries over non-array fields in multikey indices,NUG,NUG,NUG
SERVER-51540,NUG,NUG,Support expression $mod in SBE,NUG,NUG,NUG
SERVER-48709,BUG,BUG,signing key generator thread on config server not waken up as expected,BUG,BUG,BUG
SERVER-47528,BUG,BUG,Presence of initialSyncStatus in replSetGetStatus consumes too much FTDC space,BUG,BUG,BUG
SERVER-51303,BUG,BUG,Lookup stage followed by $match on type uses wrong field in matching condition,BUG,BUG,BUG
SERVER-52672,BUG,BUG,Update blackduck_hub.py rules for filtering beta versions,BUG,BUG,BUG
SERVER-13937,NUG,NUG,Allow setting a window and interval for the TTL monitor,NUG,NUG,NUG
SERVER-34741,NUG,NUG,Move $match in front of $group if condition is on group key,NUG,NUG,NUG
SERVER-50838,BUG,BUG,Coverity analysis defect 115741: Unchecked return value,BUG,BUG,BUG
SERVER-51896,NUG,NUG,[cleanup] Inline logic for waitUntilCommittedOrAborted and rename waitUntilCommittedOrAbortedNoThrow to waitUntilCommittedOrAborted to avoid naming confusion,NUG,NUG,NUG
SERVER-52714,BUG,BUG,Fix the lifetime of ImpersonationSessionGuard in ExecCommandDatabase,BUG,BUG,BUG
SERVER-6227,NUG,NUG,Definition of serverStatus.network.bytesIn and bytesOut are not consistent with regards to replication traffic,NUG,NUG,NUG
SERVER-51677,NUG,NUG,MaybeLockFree helpers should check disableLockFreeReads server parameter,NUG,NUG,NUG
SERVER-52698,BUG,BUG,Protect ViewCatalog with internal mutex on all code paths,BUG,BUG,BUG
SERVER-50872,NUG,NUG,"Make the OpObserver construct TenantMigrationAccessBlocker on observing insertion for state doc with state ""data sync""",NUG,NUG,NUG
SERVER-51011,NUG,NUG,"Determine if tenant migration tests should run on ""majority read concern off""",NUG,NUG,NUG
SERVER-51043,BUG,BUG,Remove the TenantMigrationAccessBlocker when the state doc is removed instead of when expireAt is set,BUG,BUG,BUG
SERVER-51169,NUG,NUG,Add a helper function to tenant_migration_util.js for running donorStartMigration and retry on NotPrimary errors,NUG,NUG,NUG
SERVER-51292,NUG,NUG,[required cleanup] Use async version of RemoteCommandTargeter::findHost in TenantMigrationDonorService,NUG,NUG,NUG
SERVER-51331,NUG,NUG,Make TenantMigrationUtil retry donorStartMigration and donorForgetMigration on network errors,NUG,NUG,NUG
SERVER-51332,BUG,BUG,tenant_migration_donor_failover_and_shutdown.js should wait for the primary to receive the command before shutting down the node,BUG,BUG,BUG
SERVER-51894,BUG,BUG,Don't call std::move() on 'collectionOptions' when calling 'userCreateNS' in create_collection.cpp,BUG,BUG,BUG
SERVER-52646,BUG,NUG,Validate and possibly fix edge cases in regex rewrite rules for userToDNMapping,BUG,BUG,BUG
SERVER-51022,BUG,BUG,Fix regex in cloner_utils,BUG,BUG,BUG
SERVER-50837,BUG,BUG,Make sure that donorForgetMigration command can be retried,BUG,BUG,BUG
SERVER-50456,BUG,BUG,Add incompatible_with_eft tag to tenant migration tests,BUG,BUG,BUG
SERVER-32905,NUG,NUG,deprecate jstests/core/updatef.js,NUG,NUG,NUG
SERVER-32727,NUG,NUG,disallow unique indexes on capped collections,NUG,NUG,NUG
SERVER-29113,NUG,NUG,Have WT grouped collections support random cursors,NUG,NUG,NUG
SERVER-50671,BUG,BUG,Make TenantMigrationAccessBlockerByPrefix::appendInfoForServerStatus take the mutex,BUG,BUG,BUG
SERVER-50617,BUG,BUG,Make TenantMigrationAccessBlocker::abort not invariant that the migration is in blocking state,BUG,BUG,BUG
SERVER-21448,NUG,NUG,Working set estimation WT,NUG,NUG,NUG
SERVER-21939,NUG,NUG,Ability to force a checkpoint and keep it around for a given amount of time,NUG,NUG,NUG
SERVER-21886,NUG,NUG,allow users to specify an explicit path for temporary files,NUG,NUG,NUG
SERVER-21862,NUG,NUG,Use record store directly to read from oplog for replication,NUG,NUG,NUG
SERVER-21770,NUG,NUG,Support storage engine specific log/profile output fields (per operation),NUG,NUG,NUG
SERVER-18895,NUG,NUG,Background index building with nice/ionice/priority,NUG,NUG,NUG
SERVER-16816,NUG,NUG,Should assertInActiveTxn() for WiredTigerCursor::get(),NUG,NUG,NUG
SERVER-51679,BUG,BUG,Fix race condition in Free Monitoring when free monitoring document is deleted,BUG,BUG,BUG
SERVER-51864,NUG,NUG,IDLify usersInfo and rolesInfo commands,NUG,NUG,NUG
SERVER-46946,NUG,NUG,Optimize BtreeKeyGenerator::getKeys for non-multikey indexes,NUG,NUG,NUG
SERVER-49107,NUG,NUG,Add async command API,NUG,NUG,NUG
SERVER-16620,NUG,NUG,"escape double quotes \"" when printing strings to log",NUG,NUG,NUG
SERVER-52634,NUG,BUG,Transactional bulkWrite error returns only 1 error,NUG,NUG,NUG
SERVER-20172,NUG,BUG,Clean up newline chars in log messages,NUG,NUG,NUG
SERVER-6036,NUG,NUG,Disable cursor timeout for cursors that belong to a session,NUG,NUG,NUG
SERVER-52675,NUG,NUG,Lower number of documents for index stress tests and don't run on ephemeralForTest,NUG,NUG,NUG
SERVER-51263,NUG,NUG,Rename ismaster_metrics files to hello_metrics,NUG,NUG,NUG
SERVER-51793,BUG,BUG,Speed up compile tasks generated by burn_in_tags by running them on rhel62-large,BUG,BUG,BUG
SERVER-51777,NUG,NUG,Get rid of reduntant ShardRegistry::init function,NUG,NUG,NUG
SERVER-52534,NUG,NUG,Auth to the Evergreen API and S3 for both local and Evergreen machines,NUG,NUG,NUG
SERVER-42737,BUG,BUG,MongoDB stuck on update metadata,BUG,BUG,BUG
SERVER-50365,BUG,BUG,Stuck with long-running transactions that can't be timed out,BUG,BUG,BUG
SERVER-45270,BUG,BUG,Increased vulnerability to slow DNS,BUG,BUG,BUG
SERVER-4428,NUG,NUG,should geoSearch commands should work with certain? query operators,NUG,NUG,NUG
SERVER-4420,NUG,NUG,"geoHaystack indexes on same keys, different bucket size",NUG,NUG,NUG
SERVER-52659,NUG,NUG,Avoid running command in a separate thread in index_commands_shard_targeting.js,NUG,NUG,NUG
SERVER-14947,BUG,BUG,"""btree: key+recloc already in index"" error when updating _id index",BUG,BUG,BUG
SERVER-48571,BUG,BUG,Write operation might invariant if a target error and a response error is received,BUG,BUG,BUG
SERVER-51387,NUG,NUG,Assert that the stable timestamp is never set higher than the WT all_durable timestamp,NUG,NUG,NUG
SERVER-51750,BUG,BUG,config.transactions cloner for resharding must not ignore records for multi-document transaction,BUG,BUG,BUG
SERVER-52663,BUG,BUG,Fix the lifetime of ScopedMetricsCollector in ExecCommandDatabase,BUG,BUG,BUG
SERVER-51420,NUG,NUG,Deletes read the document twice before deleting,NUG,NUG,NUG
SERVER-52669,NUG,NUG,Add performance tests for custom profile/log filter,NUG,NUG,NUG
SERVER-50882,NUG,BUG,"Noisy log message, ""Received interrupt request for unknown op""",NUG,NUG,NUG
SERVER-52289,NUG,NUG,Enable feature flag for Custom Filter for Profiler and Logging,NUG,NUG,NUG
SERVER-51986,NUG,NUG,Create feature flag for Custom Filter for Profiler and Logging,NUG,NUG,NUG
SERVER-52602,BUG,BUG,"OplogBufferCollection calling StorageInterfaceImpl::insertDocuments() can violate ""multi-timestamp"" constraint.",BUG,BUG,BUG
SERVER-52628,BUG,BUG,Tenant migration recipient can give a false indication to donor about the data being majority committed on recipient replica set.,BUG,BUG,BUG
SERVER-52627,BUG,BUG,Fix use after free in SBE sub planner,BUG,BUG,BUG
SERVER-52625,NUG,NUG,linkbenches write to conventional location,NUG,NUG,NUG
SERVER-40293,BUG,BUG,change_stream.js removal test should do an unordered check on the change stream,BUG,BUG,BUG
SERVER-52661,BUG,BUG,lastDurable is set after it is cleared in initial sync,BUG,BUG,BUG
SERVER-51068,NUG,BUG,HierarchicalAcquisitionLevelViolation messages are cryptic,NUG,NUG,NUG
SERVER-39044,BUG,BUG,Cannot add session into the cache error code 261,BUG,BUG,BUG
SERVER-49994,NUG,NUG,Rename javascript test names that use master/slave terminology,NUG,NUG,NUG
SERVER-41020,NUG,NUG,Tweak or fuzz storage engine tunable parameters in testing,NUG,NUG,NUG
SERVER-48078,BUG,BUG,Remove OpDebug invariant that relies on monotonic clock source,BUG,BUG,BUG
SERVER-50123,NUG,NUG,Record number of physical cores on all platforms,NUG,NUG,NUG
SERVER-51524,NUG,NUG,Alias internalQueryCacheSize to internalQueryCacheMaxEntriesPerCollection,NUG,NUG,NUG
SERVER-52624,BUG,BUG,Cache the pointer to the oplog collection before running recoverToOplogTimestamp,BUG,BUG,BUG
SERVER-49724,NUG,NUG,Make ReadThroughCache support StringData keys,NUG,NUG,NUG
SERVER-51697,BUG,BUG,change_streams_new_shard_new_database.js expects a deterministic assignment of a database to a shard when 'create' command is issued,BUG,BUG,BUG
SERVER-51388,NUG,NUG,Update live-record buildvariant settings,NUG,NUG,NUG
SERVER-51870,NUG,NUG,Reduce memory footprint for SBE PlanStages,NUG,NUG,NUG
SERVER-52537,BUG,BUG,"Mongostat,mongotop and other similar mongo commands are showing password in plain text on linux ps commands",BUG,BUG,BUG
SERVER-52642,BUG,BUG,Status constructor must handle optional ErrorExtraInfo,BUG,BUG,BUG
SERVER-50909,NUG,NUG,Only apply changed connection strings inside ShardRegistry::_lookup(),NUG,NUG,NUG
SERVER-35377,BUG,BUG,Operations on new clients get latest in-memory clusterTime as operationTime,BUG,BUG,BUG
SERVER-52194,NUG,NUG,Create feature flag for Operational improvements to WT compact,NUG,NUG,NUG
SERVER-52500,NUG,NUG,Enable feature flag for Reduce stalls in WT when managing a large number of collections,NUG,NUG,NUG
SERVER-52507,NUG,NUG,Enable feature flag for Test coverage via macro fault injection,NUG,NUG,NUG
SERVER-52486,NUG,NUG,Enable feature flag for Column store support with WT durable history,NUG,NUG,NUG
SERVER-52198,NUG,NUG,Create feature flag for Restructure history store code in WT as a cursor interface,NUG,NUG,NUG
SERVER-52492,NUG,NUG,Enable feature flag for Incremental backup tech debt in WT,NUG,NUG,NUG
SERVER-52489,NUG,NUG,Enable feature flag for Extend WT stress testing for easier diagnosability,NUG,NUG,NUG
SERVER-52496,NUG,NUG,Enable feature flag for Migrate WiredTiger performance tests to Evergreen,NUG,NUG,NUG
SERVER-52180,NUG,NUG,Create feature flag for Better history management for oplog,NUG,NUG,NUG
SERVER-52193,NUG,NUG,Create feature flag for Migrate WiredTiger performance tests to Evergreen,NUG,NUG,NUG
SERVER-40317,NUG,BUG,$facet execution has no limit on how much memory it can consume,NUG,NUG,NUG
SERVER-51291,NUG,NUG,Increment shard version when changing original or temporary resharding collection,NUG,NUG,NUG
SERVER-52363,NUG,NUG,Enable feature flag for Better JSON logging,NUG,NUG,NUG
SERVER-52060,NUG,NUG,Create feature flag for Better JSON logging,NUG,NUG,NUG
SERVER-51373,NUG,NUG,Create IDL definition for OkReply,NUG,NUG,NUG
SERVER-51248,BUG,BUG,Using _secondaryThrottle and _waitForDelete leads a high number of chunks,BUG,BUG,BUG
SERVER-51372,NUG,NUG,"Add ""command_name"" field to IDL command syntax",NUG,NUG,NUG
SERVER-16571,NUG,BUG,Use Actual Memory Constraint vs. Total System Memory When They Differ,NUG,NUG,NUG
SERVER-51097,BUG,BUG,"unittests ran for more than an hour, stalling the commit queue",BUG,BUG,BUG
SERVER-43959,BUG,BUG,Warning for enableMajorityReadConcern not showing up in logs as expected,BUG,BUG,BUG
SERVER-49810,BUG,BUG,Stable result comparison for facet/use_cases.js,BUG,BUG,BUG
SERVER-51721,BUG,BUG,dataSize do not reduce after chunks migrated,BUG,BUG,BUG
SERVER-51840,NUG,BUG,Reduce dbtest jobs on 4.2 on Windows debug,NUG,NUG,NUG
SERVER-51836,BUG,BUG,Update Windows multiversion download link,BUG,BUG,BUG
SERVER-52615,BUG,BUG,Make sure TenantMigrationSharedData:::_lastVisibleOpTime(dataConsistentStopDonorOpTime) is not null when tenant cloning is successsful.,BUG,BUG,BUG
SERVER-47553,BUG,BUG,mongos crashes due to client disconnecting when signing keys being refreshed,BUG,BUG,BUG
SERVER-50413,NUG,NUG,"Change ""not master and slaveOk=false"" error message to ""not master and secondaryOk=false""",NUG,NUG,NUG
SERVER-51874,NUG,NUG,disallow write operations on time-series buckets collection,NUG,NUG,NUG
SERVER-52617,BUG,BUG,Cache the pointer to the oplog collection before running recoverToOplogTimestamp,BUG,BUG,BUG
SERVER-19565,NUG,NUG,BSONElement::getGtLtOp() should include all query operators,NUG,NUG,NUG
SERVER-51837,BUG,BUG,Coverity analysis defect 116502: Unchecked return value,BUG,BUG,BUG
SERVER-52597,NUG,BUG,"Add requires_journaling,requires_replication tags to drop-user-transaction test",NUG,NUG,NUG
SERVER-51365,NUG,BUG,Add requires_persistence tag to split_horizon_startup_warnings.js,NUG,NUG,NUG
SERVER-51667,NUG,NUG,Collect cpu time used per operation,NUG,NUG,NUG
SERVER-51718,BUG,BUG,"Disallow sparse, hashed indexes from being considered for answering $exists: false queries.",BUG,BUG,BUG
SERVER-50576,BUG,BUG,mongokerberos utility is missing in the MSI installer,BUG,BUG,BUG
SERVER-51717,BUG,BUG,Empty database directory will not be removed if KVEngine::dropIdent() does not drop the ident right away,BUG,BUG,BUG
SERVER-1475,BUG,BUG,"{field: {$type:""array""}} should return documents where ""field"" is an array",BUG,BUG,BUG
SERVER-21612,NUG,NUG,Combine post $lookup $match on looked up field,NUG,NUG,NUG
SERVER-51170,BUG,BUG,Ensure database refreshes are performed after ShardingState initialization,BUG,BUG,BUG
SERVER-52590,BUG,BUG,Disable aggregate_operation_metrics.js on ephemeralForTest,BUG,BUG,BUG
SERVER-28195,BUG,BUG,$skip followed by $limit in aggregation resort & lost records when $sort by equal values,BUG,BUG,BUG
SERVER-51725,BUG,BUG,"Duplicate documents while using ""Sort"" with ""Pagination""",BUG,BUG,BUG
SERVER-51757,NUG,NUG,Collect /proc/vmstat numa_pages_migrated statistics in FTDC,NUG,NUG,NUG
SERVER-25397,BUG,BUG,JavaScript linter allows lines over 100 characters,BUG,BUG,BUG
SERVER-20547,NUG,NUG,Expose the reason an operation fails document validation,NUG,NUG,NUG
SERVER-51889,NUG,NUG,Introduce new stage to peek / debug a pipeline stage's output,NUG,NUG,NUG
SERVER-52591,BUG,BUG,Fix printing timestamps in backup_cursor_truncate_after.js,BUG,BUG,BUG
SERVER-40361,NUG,NUG,Reduce memory footprint of plan cache entries,NUG,NUG,NUG
SERVER-36818,NUG,BUG,$expr does not use multi-key index,NUG,NUG,NUG
SERVER-47415,NUG,NUG,move data structures for tracking active index builds in IndexBuildsCoordinator into separate class,NUG,NUG,NUG
SERVER-50201,BUG,BUG,Coverity analysis defect 116124: Uninitialized scalar field,BUG,BUG,BUG
SERVER-52598,BUG,BUG,Disable tags.js on ephemeralForTest,BUG,BUG,BUG
SERVER-24165,BUG,BUG,Validate should report records with invalid BSON,BUG,BUG,BUG
SERVER-51796,BUG,BUG,"Missing comma in ""Restoring orphaned data file"" (22334) log message parameters",BUG,BUG,BUG
SERVER-45769,BUG,BUG,FSM workloads that run commands and expect them to fail cause infinite retry loops,BUG,BUG,BUG
SERVER-51616,NUG,NUG,Store API version fields to expression context,NUG,NUG,NUG
SERVER-50291,NUG,NUG,Add query knob to enumerate $or children in a different order,NUG,NUG,NUG
SERVER-41872,BUG,BUG,PlanEnumerator AndAssignment::choices ordering not stable and is relevant to set of plans generated,BUG,BUG,BUG
SERVER-48771,NUG,NUG,"Enforce constraints on ""multi-timestamp"" transactions",NUG,NUG,NUG
SERVER-50768,BUG,BUG,getLog: rs missing in 4.4 without documented change,BUG,BUG,BUG
SERVER-26726,NUG,NUG,Check number of arguments for createIndex() and throw error if more than two arguments,NUG,NUG,NUG
SERVER-33967,NUG,NUG,Include executionTimeMillis for each shard in the explain output,NUG,NUG,NUG
SERVER-38909,NUG,NUG,"Permit empty update modifiers, treating as a no-op rather than an error",NUG,NUG,NUG
SERVER-41694,NUG,NUG,Remove the restriction on collection name length,NUG,NUG,NUG
SERVER-49102,NUG,NUG,Accept a filter expression as an alternative to slowMS/sampleRate,NUG,NUG,NUG
SERVER-48492,NUG,NUG,run_reconfig_background.js should ignore ShutdownInProgress errors due to quiesce mode,NUG,NUG,NUG
SERVER-51819,BUG,BUG,Remove joinAsync from AbstractAsyncComponent,BUG,BUG,BUG
SERVER-51845,BUG,BUG,StorageInterfaceImpl::createIndexesOnEmptyCollection() should acquire stronger collection lock (X) mode while creating indexes on empty committed collection.,BUG,BUG,BUG
SERVER-51885,BUG,BUG,Blacklist balancing_sessions_collection.js from sharding_csrs_continuous_config_stepdown,BUG,BUG,BUG
SERVER-51828,BUG,BUG,Fix assertion around number of elections in priority_takeover_one_node_higher_priority.js,BUG,BUG,BUG
SERVER-51120,BUG,BUG,Find queries with SORT_MERGE incorrectly sort the results when the collation is specified,BUG,BUG,BUG
SERVER-40954,NUG,BUG,Error message for UnrecoverableRollbackError in FCV 3.6 should recommend downgrading to 3.6,NUG,NUG,NUG
SERVER-13201,NUG,NUG,Allow new Aggregation $merge stage to explicitly name a DB to write to,NUG,NUG,NUG
